id,name,funnel_stage,primary_ratio,visual_direction,image_headline,primary_text,cta,notes
01,Feature Benefit Product Hero,Cold,9:16,"Full-frame brand-colour background, top headline bar, subhead pill, centred product pack, four icon/arrow callouts","Muscle Support Without The Junk","When you are eating less, protein can be harder to keep consistent. Get Rid Of Dad Bod gives you a simple chocolate whey serve for the part of the plan you can repeat.","Shop now","Reference: reference-ads/001-features-benefits. Callouts: 31g protein, low sugar chocolate, grass fed whey, no messy prep."
02,31g Per Serve Hero,Cold,4:5,"Large pack shot with oversized 31g numeral and small supporting label","31g protein per serve","Grass fed whey protein concentrate with 30.8g protein per 40g serve. Built for simple daily consistency.","Shop now","First build priority."
03,Appetite Down Protein Up,Cold,4:5,"Kitchen bench, half-full plate, shaker, product in background; no medical cues","Appetite down? Protein still matters.","When you are eating less, a high-protein serve can help keep your nutrition routine simple.","Learn more","Avoid GLP-1 or prescription references."
04,Muscle Maintenance Claim,Cold,4:5,"Product plus simple dumbbell silhouette or home-gym bench","Support muscle maintenance","Protein contributes to the maintenance of muscle mass. One chocolate serve gives you 30.8g protein.","Shop now","Compliance review before launch."
05,Dad Routine,Cold,4:5,"Early morning Australian kitchen, shaker beside keys/phone/work bag, product visible","For the dad routine.","A scoop, a shaker, and one less nutrition decision before the day starts.","Shop now","Identity-led without asserting viewer body status."
06,Not A Meal Replacement,Warm,4:5,"Product beside normal breakfast or post-training snack","Not magic. Just protein.","A formulated supplementary sports food designed to be used with a nutritious diet and appropriate exercise.","Learn more","Good trust/anti-hype ad."
07,Simple Ingredient Check,Warm,4:5,"Label ingredient section as document-style crop with product pack beside it","Know what is in your scoop.","Grass fed whey protein concentrate, cocoa, flavouring, sunflower lecithin, minerals, and sweetener. No mystery stack.","View ingredients","Use exact ingredient wording from approved label."
08,Low Sugar Proof Point,Cold,4:5,"Product with clean nutrition tile: Protein 30.8g, Sugar 1.2g, Serve 40g","High protein. Low sugar.","Chocolate whey with 30.8g protein and 1.2g sugar per serve.","Shop now","First build priority."
09,Made In Australia,Cold,4:5,"Pack shot plus Made in Australia badge treatment","Made in Australia","Chocolate whey protein concentrate for Australian dads building a steadier routine.","Shop now","Use approved Made in Australia mark only if licensed/allowed."
10,One Scoop Checklist,Cold,4:5,"Checklist on blue/yellow card next to product","One scoop. 31g protein.","Straightforward protein for the part of the plan you can actually repeat.","Shop now","Checklist: Chocolate, Grass fed WPC, 25 serves, Made in Australia."
11,Gym Bag Static,Cold,4:5,"Gym bag, towel, shaker, product, car keys","Keep the gym bag honest.","For dads trying to keep training part of the week, not just part of the plan.","Shop now","Lifestyle scene."
12,Chocolate Taste Hook,Cold,4:5,"Chocolate swirl from product label echoed as background texture, pack shot foreground","Chocolate that earns its spot.","31g protein per serve in a chocolate whey you can keep using after week one.","Shop now","Taste-led angle."
13,Product Range Starter,Cold,4:5,"Single product centered with strong brand colours, catalog-like","Start with chocolate.","Get Rid Of Dad Bod Chocolate Whey Protein Concentrate. 1kg, 25 serves, made in Australia.","Shop now","Good baseline product ad."
14,Review Quote Verified Only,Warm,4:5,"Product beside large quote card","Easy to stick with.","Use only after real customer reviews exist. Keep the quote specific and verifiable.","Shop now","Hold until verified customer review and permission exist."
15,Problem Solution,Cold,4:5,"Split layout: empty plate/low appetite cue beside shaker/product","Eating less can make protein harder.","That is where a simple whey serve can help keep the basics covered.","Learn more","No prescription references."
16,Plain English Protein,Cold,4:5,"Product on plain background with handwritten-style note card","No hype stack.","Just a practical chocolate whey protein concentrate for dads getting their routine back under control.","Shop now","Good anti-hype brand voice."
17,Objection Need Protein Powder,Warm,4:5,"FAQ card with product in corner","Do you need protein powder?","No. But when life is busy and food is inconsistent, a measured serve can make protein easier to hit.","Learn more","Useful education/retargeting."
18,The 40g Serve,Warm,4:5,"Macro tile based on back label","Per 40g serve","A clear macro profile for dads who want fewer nutrition guesses.","Shop now","Stats: 30.8g protein, 2.3g fat, 3.2g carbs, 1.2g sugar."
19,Midlife Strength Routine,Cold,4:5,"Home garage gym, adjustable dumbbells, shaker, product; no shirtless/body imagery","Keep strength in the plan.","If weight is coming down, your training and protein routine still deserve attention.","Shop now","Avoid body-transformation visuals."
20,Clean Landing Page Retarget,Retargeting,4:5,"Website/product-page mockup plus product","Still thinking about it?","Chocolate grass fed whey, 31g protein per serve, made in Australia.","Shop now","Retargeting once product page exists."
R02,Notes Personal Switch,Cold,9:16,"Notes-app interface, first-person decision headline, checklist, large product pack","Why this made protein easier","Protein is easier to keep consistent when the step is boring in the best way: one measured chocolate whey serve, 31g protein, no big promise.","Shop now","Emotion: curiosity and borrowed confidence. Reels-safe: headline, checklist, and product label inside centre safe area."
R03,Lifestyle Benefit Scene,Cold,9:16,"Moody routine scene, big relief headline, three benefit pills, product on bench","Less thinking. More protein.","Some days, food is organised. Some days, it is not. Get Rid Of Dad Bod gives you one measured chocolate whey serve for the part of the routine you can keep simple.","Shop now","Emotion: relief from decision fatigue. Pills: 31g protein, low sugar choc, grass fed WPC."
